Fire_Nofire,latitude1,longitude2,ref #,Max of temperature,Max of soil_temperature_0_to_7cm,Max of soil_moisture_0_to_7cm, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
2,51.0665,-78.5841,84,27.1,0.469,0.469,20.18,M1_35,4.482,1.538,1.538,3.54241,2068,18.76
2,51.0695,-78.5792,85,27.1,0.469,0.469,20.18,M1_35,4.482,1.538,1.538,3.54241,2068,18.76
2,51.1838,-76.8966,86,25.6,0.626,0.626,13.7,C2,6.154,1.709,2.10231,3.62588,3881,26.54
2,50.8505,-78.5721,87,26.5,0.565,0.565,17.29,D1,1.46,0.927,0.927,6.27909,406,18.76
2,50.8391,-78.5384,88,26.1,0.557,0.557,16.97,D1,1.429,0.919,0.919,6.20767,394,18.76
2,52.6245,-104.469,89,23.1,0.158,0.158,13.36,farm,0,0,0,8.39998,0,0.601703
2,59.9579,-112.622,90,21.2,0.161,0.161,33.01,M1_65,8.626,3.252,3.252,0.27382,8416,6.91
2,59.9741,-112.572,91,21.2,0.161,0.161,33.24,D2,2.087,1.431,1.431,7.52424,896,6.91
2,60.7673,-112.833,92,21.3,0.296,0.296,30.93,C2,11.048,4.139,4.37022,14.3686,14485,7.29
2,61.2724,-111.642,93,18,0.112,0.112,30.04,C4,10.147,4.16,4.32614,14.3108,13169,5.87
2,61.3648,-111.355,94,17.5,0.136,0.136,28.79,C4,9.124,4.185,4.38086,14.5485,11991,5.87
2,61.3726,-111.302,95,17.5,0.151,0.151,28.39,O1a,0.006,0.35,0.35,0.35,1,5.87
2,59.6599,-116.116,96,21.6,0.469,0.469,18.66,C4,7.384,2.147,2.28362,7.05976,5059,6.82
2,59.6362,-116.173,97,21.5,0.472,0.472,18.59,C2,7.084,2.772,2.8381,7.03305,6032,6.82
2,59.6598,-116.108,98,21.6,0.469,0.469,18.73,C2,7.152,2.786,2.94531,7.08811,6319,6.82
2,60.2915,-111.502,99,18.9,0.102,0.102,32.73,C4,11.708,4.31,4.53642,13.5045,15934,5.87
2,60.7705,-111.266,100,18.1,18.4,0.084,29.81,C4,10.402,4.015,4.16164,13.8138,12987,5.87
2,60.5797,-112.633,101,21,20.2,0.332,32.66,C2,12.121,4.203,4.29729,14.0175,15626,4.55
2,60.4756,-111.369,102,18.8,19,0.094,31.18,O1a,0,0,0,13.4884,0,5.87
2,60.8077,-112.079,103,20,19.4,0.237,31.34,O1a,0,0,0,14.0041,0,5.87
2,60.7933,-112.117,104,20,19.4,0.237,31.82,O1a,0,0,0,14.0959,0,5.87
2,60.7811,-112.108,105,20,19.4,0.237,31.77,O1a,0,0,0,14.0529,0,5.87
2,60.6467,-112.247,106,20.2,19.6,0.255,32.5,O1a,0,0,0,13.9618,0,5.87
2,60.7791,-112.163,107,20.1,19.5,0.234,32.11,D2,2.016,1.413,1.413,9.11955,855,5.87
1,60.6931,-111.41,108,18.4,18.5,0.094,30.58,D2,1.853,1.401,1.401,9.34258,779,5.87
1,60.691,-111.403,109,18.4,18.5,0.094,30.58,D2,1.853,1.401,1.401,9.34258,779,5.87
2,60.236,-111.62,110,18.8,18.6,0.164,33.11,M1_35,5.582,2.432,2.4807,0.24907,4154,5.87
2,60.7935,-112.124,111,20,19.4,0.237,31.82,M1_65,0,0,0,0.315527,0,5.87
2,59.6361,-116.181,112,21.5,20.5,0.472,18.77,M1_35,3.432,1.682,1.682,2.41445,1732,6.82
2,64.4535,-115.248,113,19.5,20,0.175,26.39,D1,1.8,1.278,1.278,8.68915,690,5.87
2,64.7511,-125.662,114,27.4,27.5,0.215,21.93,D1,1.185,1.288,1.288,6.87864,458,8.54
2,66.3535,-119.539,115,20.1,25.2,0.176,30.4,D1,2.088,1.341,1.341,7.23937,840,8.54
2,64.4647,-115.266,116,19.5,19.9,0.183,25.81,D1,1.74,1.27,1.27,8.78606,663,5.87
2,64.1989,-113.258,117,17.2,17.9,0.21,28.07,D2,1.803,1.334,1.334,7.09415,722,5.87
2,64.1879,-113.297,118,17.2,17.9,0.21,28.16,D2,1.82,1.334,1.334,7.05072,728,5.87
2,26.4724,-109.187,119,35.7,47.8,0.076,67.6,farm,8.60896,0.35,0.35,0.35,904,4.21107
2,26.4704,-109.199,120,35.7,47.8,0.076,67.6,farm,8.60896,0.35,0.35,0.35,904,4.21107
2,33.0365,-108.394,121,33.2,36.7,0.181,75.5,C6,24.5514,0.218821,1.38762,28.6622,10220,14.02
2,33.5168,-108.587,122,27.7,25.8,0.223,119.9,C5,32.4562,0.476424,1.01166,16.6641,9850,14.02
2,33.5507,-107.839,123,29.1,34.8,0.096,65.4,C5,13.2136,0.19715,0.377185,28.9364,1495,14.02
2,33.5405,-107.848,124,29,33,0.121,65.4,C5,13.2136,0.336106,0.49327,28.9364,1955,14.02
2,33.0467,-108.458,125,33,34.5,0.248,119.9,C4,96.6216,0.207421,0.876051,16.6641,25394,14.02
2,33.2843,-108.346,126,30.5,30.1,0.166,75.5,C4,53.0398,0.574284,0.822178,28.6622,13082,14.02
2,33.3269,-108.366,127,29.1,27.8,0.246,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,33.274,-108.354,128,30.5,30.1,0.166,75.5,C6,24.5514,0.195168,0.71444,28.6622,5262,14.02
2,33.5493,-107.85,129,29.1,34.8,0.096,65.4,C6,19.6218,0.19715,0.599849,28.9364,3531,14.02
2,33.0318,-108.426,130,33.2,36.7,0.181,75.5,C5,18.8397,0.195168,0.880103,28.6622,4974,14.02
2,33.0349,-108.405,131,33.2,36.7,0.181,75.5,C5,18.8397,0.418021,1.01177,28.6622,5718,14.02
2,33.0395,-108.373,132,33.2,36.7,0.181,75.5,C5,18.8397,0.196197,0.619028,28.6622,3499,14.02
2,33.0468,-108.386,133,31.6,31,0.214,75.5,C5,18.8397,0.579276,1.22013,28.6622,6896,14.02
2,33.053,-108.415,134,31.6,31,0.214,75.5,C5,18.8397,0.195168,1.05693,28.6622,5974,14.02
2,33.5064,-108.596,135,27.7,25.8,0.223,119.9,C5,32.4562,1.08969,1.46733,16.6641,14287,14.02
2,33.0452,-108.468,136,33,34.5,0.248,119.9,C5,32.4562,0.203881,1.03061,16.6641,10035,14.02
2,33.6742,-109.262,137,27.1,28.5,0.237,119.9,C5,32.4562,2.78477,3.04932,16.6641,29691,14.02
2,33.6653,-109.26,138,27.1,28.5,0.237,119.9,C5,32.4562,0.203881,0.339578,16.6641,3306,14.02
2,33.038,-108.384,139,33.2,36.7,0.181,75.5,C5,18.8397,0.195168,1.04254,28.6622,5892,14.02
2,33.0545,-108.405,140,31.6,31,0.214,75.5,C5,18.8397,0.323332,1.14609,28.6622,6478,14.02
2,33.6226,-109.357,141,27.1,26.2,0.21,53.4,C5,6.87561,2.75721,2.75721,16.8797,5687,14.02
2,33.5751,-109.484,142,28.3,27.5,0.196,53.4,C5,6.87561,0.25159,0.25159,16.8797,519,14.02
2,33.5678,-109.471,143,28.3,27.5,0.196,53.4,C5,6.87561,0.321584,0.321584,16.8797,663,14.02
2,33.5696,-109.46,144,28.3,27.5,0.196,53.4,C5,6.87561,0.20444,0.20444,16.8797,422,14.02
2,33.5225,-108.611,145,27.7,25.8,0.223,119.9,C5,32.4562,0.270032,0.732236,16.6641,7130,14.02
2,33.2755,-108.344,146,30.5,30.1,0.166,75.5,O1b,10.3269,0.264073,0.264073,0.264073,818,14.02
2,33.4198,-108.495,147,27.9,26.5,0.234,75.5,O1b,10.3269,0.21393,0.21393,0.21393,663,14.02
2,33.2874,-108.325,148,30.5,30.1,0.166,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,33.3088,-108.427,149,29.1,27.8,0.246,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,33.576,-108.556,150,28.1,26.4,0.212,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,33.4214,-108.485,151,27.9,26.5,0.234,75.5,O1b,10.3269,1.21384,1.21384,1.21384,3761,14.02
2,33.4126,-108.483,152,27.9,26.5,0.234,75.5,O1b,10.3269,0.42703,0.42703,0.42703,1323,14.02
2,33.4032,-108.475,153,27.9,26.5,0.234,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
2,33.4141,-108.472,154,27.9,26.5,0.234,75.5,O1b,10.3269,0.246054,0.246054,0.246054,762,14.02
2,33.3207,-108.408,155,29.1,27.8,0.246,75.5,O1b,10.3269,0.2128,0.2128,0.2128,659,14.02
